"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"2698","Minnesota-Ramsey",45.01525,550210,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,6,6,6,12,16,17,18,24,26,27,32,34,42,46
"2727","Missouri-St. Louis",38.640702,996945,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,8,12,22,23,69,100,129,173,247,313,336
"2756","Nebraska-Douglas",41.297091,566880,0,0,0,0,0,1,1,1,4,4,9,9,11,16,16,16,19,19,23,26,34,35,35,35,44,44,47,57,60
"2785","Nebraska-Knox",42.634405,8419,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"2814","Nevada-Clark",36.214236,2231647,0,0,0,0,1,1,1,2,2,5,5,8,16,16,16,35,42,42,74,126,126,126,151,249,249,350,443,443,528
"2843","Nevada-Washoe",40.703311,465735,0,0,0,0,0,1,1,2,2,2,2,2,3,4,9,9,12,12,14,22,25,25,25,25,57,67,75,93,107
"2872","New Hampshire-Grafton",43.926488,89786,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,5,7,7,9,12,13,15,20,21,22,23,26,28,29
"2901","New Hampshire-Rockingham",42.98936,309176,0,0,0,0,0,0,0,1,1,2,2,3,3,4,9,10,14,17,18,20,25,28,38,42,56,67,75,86,100
"2930","New Jersey-Bergen",40.95909,936692,0,0,0,0,2,2,4,4,7,7,7,13,17,28,29,61,84,114,195,249,363,457,609,701,819,1206,1505,1838,2169
"2959","New Jersey-Burlington",39.875786,445384,0,0,0,0,0,0,0,0,2,2,2,2,3,3,4,5,5,10,14,17,21,26,40,42,48,64,88,115,142
"2988","New Jersey-Hudson",40.731384,676061,0,0,0,0,0,0,0,1,1,1,1,1,3,5,11,19,24,34,55,66,97,126,190,234,260,441,594,771,974
"3017","New Jersey-Monmouth",40.287056,621354,0,0,0,0,0,0,0,0,2,2,2,5,7,8,12,14,22,32,43,53,92,158,238,288,313,501,634,781,870
"3046","New Jersey-Passaic",41.033763,503310,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,8,10,18,38,49,67,95,141,216,255,399,484,608,831
